"cluster","Gene","AvgExpression"
"Cluster_5","ATP1A2""",3673.64864864865
"Cluster_1","GPM6B""",2945.08108108108
"Cluster_1","SLC44A1""",6242.83783783784
"Cluster_10","DCX""",3011.32307692308
"Cluster_7","DCX""",2818.71428571429
"Cluster_5","SLC1A3""",6478.78378378378
"Cluster_8","SLC1A3""",7091.72413793103
"Cluster_1","CLDND1""",5369.02702702703
"Cluster_10","HSP90AA1""",1754.04615384615
"Cluster_7","HSP90AA1""",1848.9387755102
"Cluster_4","HSP90AA1""",3439.27777777778
"Cluster_1","HSP90AA1""",5062.89189189189
"Cluster_3","HSP90AA1""",4891.78723404255
"Cluster_2","HSP90AA1""",4011.83571428571
"Cluster_9","HSP90AA1""",5042.65217391304
"Cluster_6","HSP90AA1""",3824.57142857143
"Cluster_9","DPYSL2""",3295
"Cluster_1","DPYSL2""",11332.9459459459
"Cluster_8","DPYSL2""",5431.44827586207
"Cluster_4","DPYSL2""",2240.22222222222
"Cluster_3","DPYSL2""",3249.25531914894
"Cluster_10","DPYSL2""",8011.23076923077
"Cluster_2","DPYSL2""",3600.21428571429
"Cluster_5","DPYSL2""",4356.78378378378
"Cluster_7","DPYSL2""",3567.81632653061
"Cluster_3","HSP90AB1""",2130.78723404255
"Cluster_2","HSP90AB1""",2620.83571428571
"Cluster_6","HSP90AB1""",2896.85714285714
"Cluster_10","STMN2""",2859.6
"Cluster_7","STMN2""",1743.0612244898
"Cluster_5","PON2""",4645.51351351351
"Cluster_8","PON2""",4670.13793103448
"Cluster_4","PTPRZ1""",2734.61111111111
"Cluster_9","HSPA8""",2580.39130434783
"Cluster_8","SLC1A2""",20898.9310344828
"Cluster_5","SLC1A2""",20632.8918918919
"Cluster_4","TNR""",2025.27777777778
"Cluster_7","STMN1""",3662.69387755102
"Cluster_10","STMN1""",4515.78461538462
"Cluster_9","STMN1""",3166.34782608696
"Cluster_3","STMN1""",1862
"Cluster_3","SPP1""",2627.42553191489
"Cluster_3","EGR1""",1867.1914893617
"Cluster_4","EGR1""",2468.44444444444
"Cluster_6","EGR1""",2907.19047619048
"Cluster_9","EGR1""",6114
"Cluster_8","CLU""",13606.1034482759
"Cluster_5","CLU""",9731.78378378378
"Cluster_1","SEPT7""",3180.40540540541
"Cluster_1","PLP1""",45007.7027027027
"Cluster_2","PLP1""",1944.69285714286
"Cluster_6","PLP1""",2359.90476190476
"Cluster_4","PLP1""",4716.66666666667
"Cluster_7","SRSF6""",2393.48979591837
"Cluster_10","SRSF6""",1947.73846153846
"Cluster_9","SRSF6""",6015.17391304348
"Cluster_10","SOX4""",4810.8
"Cluster_7","SOX4""",7044.73469387755
"Cluster_9","SOX4""",5513.52173913043
"Cluster_5","MACF1""",3351.97297297297
"Cluster_8","SAT1""",12025.7586206897
"Cluster_6","SAT1""",3022
"Cluster_5","SAT1""",10453.4864864865
"Cluster_3","SAT1""",4279.06382978723
"Cluster_3","MAP1B""",4755.8085106383
"Cluster_4","MAP1B""",1934.5
"Cluster_2","MAP1B""",5898.09285714286
"Cluster_9","MAP1B""",6406.52173913043
"Cluster_10","MAP1B""",16433.5384615385
"Cluster_7","MAP1B""",9427.08163265306
"Cluster_6","H3F3B""",2547.85714285714
"Cluster_5","GLUL""",6903.67567567568
"Cluster_8","GLUL""",8220.65517241379
"Cluster_1","ERMN""",2942.94594594595
"Cluster_3","CALM2""",2223.53191489362
"Cluster_2","CALM2""",3286.75
"Cluster_1","CALM2""",4926
"Cluster_8","FAM171B""",7303.51724137931
"Cluster_5","FAM171B""",7773.16216216216
"Cluster_3","FAM171B""",1872.14893617021
"Cluster_4","FAM171B""",2046.27777777778
"Cluster_7","NFIB""",3257.34693877551
"Cluster_10","NFIB""",3285.27692307692
"Cluster_9","NFIB""",3850.30434782609
"Cluster_4","GPM6A""",1955.72222222222
"Cluster_5","GPM6A""",4269.45945945946
"Cluster_1","PIP4K2A""",10881.5135135135
"Cluster_5","DST""",5179.16216216216
"Cluster_8","DST""",6386.62068965517
"Cluster_5","SPARCL1""",9968.18918918919
"Cluster_8","SPARCL1""",13313.0689655172
"Cluster_10","CXADR""",1724.27692307692
"Cluster_9","MARCKS""",8255
"Cluster_4","MARCKS""",7177.05555555556
"Cluster_7","MARCKS""",3710.24489795918
"Cluster_10","MARCKS""",2642.64615384615
"Cluster_10","EEF1A1""",2397.23076923077
"Cluster_9","EEF1A1""",2487
"Cluster_6","EEF1A1""",2525.66666666667
"Cluster_9","NFIA""",2708.04347826087
"Cluster_1","TMEM144""",5640.97297297297
"Cluster_10","YWHAZ""",1954.35384615385
"Cluster_1","AMER2""",3077.56756756757
"Cluster_6","B2M""",5267.7619047619
"Cluster_9","TUBA1A""",3620.95652173913
"Cluster_10","TUBA1A""",11274.0153846154
"Cluster_7","TUBA1A""",5657.38775510204
"Cluster_4","HNRNPH1""",1815.61111111111
"Cluster_7","HNRNPH1""",2172.08163265306
"Cluster_9","HNRNPH1""",7703.30434782609
"Cluster_6","FOS""",2163.95238095238
"Cluster_9","FOS""",2842.21739130435
"Cluster_1","FOS""",2940.81081081081
"Cluster_4","FOS""",1938.94444444444
"Cluster_8","AQP4""",7399.79310344828
"Cluster_5","AQP4""",4812.51351351351
"Cluster_10","SOX11""",2864.15384615385
"Cluster_7","SOX11""",5747.34693877551
"Cluster_9","SOX11""",8396.30434782609
